level,item,word,part_of_speech,pronunciation,meaning
1,1,about,adv.,อะเบาทฺ,"ประมาณ, ราวๆ"
1,2,absent,adj.,แอบเซนทฺ,"ไม่อยู่, ขาด"
1,3,accent,n.,แอคเซนทฺ,"การเน้นเสียง, สำเนียง"
1,4,acrobat,n.,อะโครแบท,นักกายกรรม
1,5,act,n.,แอคทฺ,"กระทำ, แสดง"
1,6,action,n.,แอคชึ่น,การแสดง
1,7,action film,n.,แอคชึ่น ฟิล์ม,หนังบู๊
1,8,activity,n.,แอคทีฟวิที,กิจกรรม
1,9,actor,n.,แอคเทอะ,นักแสดงชาย
1,10,actress,n.,แอคเทรส,นักแสดงหญิง
1,11,add,v.,แอด,"เพิ่ม, เสริม, เติม, บวก"
1,12,address,n.,แอดเดรส,ที่อยู่
1,13,adult,n.,แอดัลทฺ,ผู้ใหญ
1,14,adventure,n.,แอดเวนเจอะ,การผจญภัย
1,15,advertisement,n.,แอดเวอะไทซฺเมินทฺ,"การโฆษณา, คำโฆษณา"
1,16,afraid,adj.,อะเฟรด,กลัว
1,17,Africa,n.,แอฟริคา,ทวีปแอฟริกา
1,18,after,prep.,อาฟเทอะ,"หลัง, หลังจาก"
1,19,afternoon,n.,อาฟเทอะนูน,"หลังเที่ยง, บ่าย"
1,20,after-school,adj.,อาฟเทอะ สกูล,หลังเลิกเรียน
1,21,age,n.,เอจ,อายุ
1,22,ago,adv.,อะโก,"แต่ก่อน, มาแล้ว"
1,23,agree,v.,อะกรี,ตกลง
1,24,agreement,n.,อะกรีเมินทฺ,"ข้อตกลง, ความตกลง, ความยินยอม"
1,25,airline,n.,แอร์ไลนฺ,สายการบิน
1,26,airplane,n.,แอร์เพลน,เครื่องบิน
1,27,airport,n.,แอร์พอรทฺ,สนามบิน
1,28,all,adj.,ออล,ทั้งหมด
1,29,almost,adv.,ออลโมสทฺ,"เกือบ, จวนเจียน, ฉิวเฉียด"
1,30,alone,adv.,อะโลน,โดดเดี่ยวเดียวดาย
1,31,alphabet,n.,แอลฟาเบท,อักษรพยัญชนะ
1,32,alright,adv.,ออลไรทฺ,ดีแล้ว
1,33,always,adv.,ออเวซฺ,"ตลอดไป, ตลอดเวลา"
1,34,amazing,adj.,อะเมซิ่ง,น่าประหลาดใจ
1,35,ambulance,n.,แอมบิวเลินซฺ,รถพยาบาล
