item,word,part_of_speech,pronunciation,meaning
1,above,adv.,อะบัฟ,"เหนือ, เกิน, พ้น, บน"
2,accident,n.,แอคซิเดินทฺ,อุบัติเหตุ
3,across,prep.,อะครอส,"ขวาง, ข้าม, ตามขวาง, ผ่านข้าม"
4,act out,v.,แอคทฺเอาทฺ,แสดงท่าทาง
5,acting,adj.,แอคทิง,"รักษาการ, ว่าที่"
6,advertise,v.,แอดเวอไทซฺ,โฆษณา
7,advise,v.,แอดไวซฺ,แนะนำ
8,adviser,n.,แอดไวเซอะ,ที่ปรึกษา
9,afford,v.,อะฟอร์ด,"มีกำลังซื้อ, สามารถมีได้"
10,again,adv.,อะเกน,"อีก, อีกที"
11,agency,n.,เอเจนซี,"บริษัทตัวแทน, สำนักงานตัวแทน"
12,agent,n.,เอเจินทฺ,"ตัวแทน, ผู้แทน"
13,album,n.,อัลเบิม,สมุดสะสมรูปภาพ
14,alert,adj.,อะเลิร์ท,ตื่นตัว
15,alien,n.,เอเลียน,คนต่างดาว
16,allow,v.,อะเลา,อนุญาต
17,along,prep.,อะลอง,ตาม (ถนน)
18,already,adv.,ออลเรดดี,เรียบร้อยแล้ว
19,also,conj.,ออลโซ,อีกด้วย
20,although,conj.,ออลโธ,แม้ว่า
21,amusing,adj.,อะมิวซิง,"น่าเพลิดเพลิน, ขบขัน"
22,anchovy,n.,แอนโชวี,ปลาแอนโชวี่
23,ancient,adj.,แอนเชินทฺ,"เก่าแก่, โบราณกาล"
24,announce,v.,อะเนาวซฺ,ประกาศ
25,annoy,v.,อะนอย,"ก่อกวน, ทำให้รำคาญ"
26,another,adj.,อะนาเธอะ,"อื่นๆ, อย่างอื่น"
27,anymore,adv.,เอนนิมอร์,อีกต่อไป
28,anyone,pron.,เอนนิวัน,"ใคร, คนใดคนหนึ่ง"
29,anything,pron.,เอนนิธิง,"อะไรบ้าง, สิ่งใดบ้าง, สิ่งใดก็ตาม"
30,apology,n.,อะพอลโลจี,"คำขอโทษ, การขอโทษ"
31,appear,v.,อะเพียร์,ปรากฏ
32,apply,v.,อะไพล,"สมัคร, ทา, ประยุกต์ใช้"
33,archaeologist,n.,อาร์คิออเลอะจิสทฺ,นักโบราณคดี
34,archery,n.,อาร์เชอรี,การยิงธนู
35,area,n.,แอเรีย,"พื้นที่, เนื้อที่"
36,around,prep.,อะราวนดฺ,"รอบ, อยู่รอบ"
37,arrest,v.,อะเรสทฺ,จับกุม
38,art,n.,อาร์ท,ศิลปะ
39,article,n.,อาร์ทิเคิล,"สิ่งของ, บทความ"
40,assign,v.,แอสไซนฺ,"กำหนด, มอบหมาย"
41,assistant,n.,อะซิสเทินทฺ,ผู้ช่วย
42,astrologer,n.,แอสตรอลโลเจอะ,นักโหราศาสตร์
43,atmosphere,n.,แอทเมิสเฟียร์,บรรยากาศ
44,attack,v.,อะแทค,โจมตี
45,attitude,n.,แอททิทูด,ทัศนคติ
46,attract,v.,อะแทรคทฺ,ดึงดูดใจ
47,attractive,adj.,อะแทรคทิฟ,"มีเสน่ห์, มีแรงดึงดูด"
48,audience,n.,ออเดียนซฺ,"ผู้ชม, ผู้ฟัง"
49,automobile,n.,ออโทโมบิล,รถยนต์
50,average,n.,แอฟเวอะเรจ,ค่าเฉลี่ย
51,award,n.,อะวอร์ด,รางวัล
52,awesome,adj.,ออซัม,"ดี, เยี่ยม"
53,babysitter,n.,เบบีซิทเทอะ,พี่เลี้ยงเด็ก
54,bacteria,n.,แบคทีเรีย,แบคทีเรีย
55,baggage,n.,แบกเกจ,กระเป๋าสัมภาระ
56,balcony,n.,แบลคะนี,ระเบียง
57,bald,adj.,บาลดฺ,"ล้าน, โล่ง"
58,bang,n.,แบง,"การชน, การกระทบอย่างแรง"
59,bar,n.,บาร์,จุดจำหน่ายอาหารและเครื่องดื่ม
60,barley,n.,บาร์ลี,ข้าวบาร์เลย์
61,battle,n.,แบทเทิล,การต่อสู
62,beat,v.,บีท,"ตี, ตบ"
63,beauty salon,n.,บิวทิ ซาลอน,ร้านเสริมสวย
64,become,v.,บีคัม,กลายเป็น
65,beep,v.,บีพ,"กดแตรดังปีบ, เสียงปีบ"
66,before,prep.,บิฟอร์,"ก่อน, ข้างหน้า"
67,beginner,n.,บิวทิ ซาลอน,ผู้ที่พึ่งจะเริ่มต้นทำสิ่งใดสิ่งหนึ่ง
68,beginning,n.,บิกินนิ่ง,การเริ่มต้น
69,beige,n.,เบจ,"สีน้ำตาลอ่อน, สีเทาอ่อน"
70,believe,v.,บีลีฟ,"เชื่อ, เชื่อถือ"
71,belly,n.,เบลลี,"ช่องท้อง, ท้อง"
72,belong to,v.,บิลอง ทู,"เป็นของ, เป็นส่วนหนึ่งของ"
73,below,prep.,บิโล,"อยู่ข้างล่าง, อยู่ตอนใต้"
74,bench,n.,เบนชฺ,ม้านั่ง
75,beside,prep.,บิไซดฺ,"อยู่ข้าง, นอกจาก"
76,billion,n.,บิลเยิน,"หนึ่งพันล้าน (USA), หนึ่งล้านล้าน (Eng)"
77,biography,n.,ไบออกกระฟี,ชีวประวัติ
78,bitter,adj.,บิทเทอะ,"ขม, ขมขื่น"
79,blade,n.,เบลด,ใบมีด
80,blame,v.,เบลม,"กล่าวโทษ, กล่าวหา"
81,bland,adj.,แบลนดฺ,นิ่มนวล
82,blank,adj.,แบลงคฺ,"ว่าง, ว่างเปล่า"
83,body language,n.,บอดีแลงเกว็จ,"ภาษาร่างกาย, ภาษาท่าทาง"
84,booking,n.,บุคคิง,การจอง
85,boomerang,n.,บูมเมอะแรง,บูมเมอแรง
